Freq,Full cooling,Partial cooling,Full ventilation,Partial ventilation
31.5,12.52,8.99,25.33,27.52
40,11.69,10.57,16.65,20.49
50,40.49,14.92,38.57,15.65
63,35.54,22.76,34.24,36.33
80,41.49,28.49,40.74,27.59
100,36.85,24.15,35.28,34.39
125,37.83,32.73,39.02,35.72
160,39.6,29.91,39.72,26.17
200,48.71,36.74,48.9,37.47
250,54.73,44.24,54.69,45.23
315,49.11,41.9,49.86,48.99
400,48.52,34.73,49.87,40.48
500,53.26,34.78,53.62,39.78
630,49.54,34.26,49.57,37.18
800,49.01,35.17,49.4,39.23
1000,45.54,42,47.34,45.41
1250,47.16,35.33,47.94,37.87
1600,44.15,24.71,45.71,33.3
2000,46.06,25.62,47.11,29.56
2500,40.94,23.56,41.8,24.04
3150,36.06,21.71,37,24.01
4000,29.59,11.22,32.16,20.56
5000,1.86,17.82,25,17.34
6300,16.41,14.67,20.12,17.52
8000,16.75,9.5,14.75,1.03
